CHAPTERS BELOW 13 SCREENS
=========================
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=1 chapter=1 | Getting Started with Python: Installation and Your First Program | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=2 chapter=1 | Introduction to Android Layouts with XML | expected=12 stored=12 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=2 chapter=2 | Essential UI Widgets and Event Handling (XML) | expected=10 stored=10 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=2 chapter=3 | Getting Started with Jetpack Compose | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=3 chapter=1 | Handling User Input with Views | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=3 chapter=2 | Introducing Activities and the Activity Lifecycle | expected=12 stored=12 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=3 chapter=3 | Navigating Between Activities with Intents | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=3 chapter=4 | Building Robust App Structures with Fragments | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=4 chapter=1 | Storing Simple Data with SharedPreferences | expected=10 stored=10 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=4 chapter=2 | Managing Structured Data with Room Database | expected=10 stored=10 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=4 chapter=3 | Connecting to the Internet: Fetching Data with Retrofit | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=4 chapter=4 | Handling Asynchronous Operations with Coroutines | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=5 chapter=1 | Understanding Android Services for Background Tasks | expected=12 stored=12 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=5 chapter=2 | Broadcast Receivers and Intent Filters | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=5 chapter=3 | Content Providers for Data Sharing | expected=12 stored=12 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=5 chapter=4 | Advanced Activity Lifecycle Management and State Preservation | expected=12 stored=12 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=5 chapter=5 | WorkManager for Persistent and Deferrable Tasks | expected=12 stored=12 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=6 chapter=2 | UI Testing with Espresso | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=6 chapter=3 | Debugging Android Applications | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=6 chapter=4 | Preparing Your App for Release | expected=12 stored=12 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=1 chapter=1 | Setting Up Your Kotlin Environment and Basic Syntax | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=1 chapter=2 | Variables, Data Types, and Basic Operations | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=1 chapter=3 | Control Flow: Conditionals and Loops | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=2 chapter=1 | Setting Up Your Android Development Environment | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=2 chapter=2 | Building a Simple User Interface with Layouts | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=2 chapter=3 | Adding Interactivity with Kotlin and Event Handling | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=3 chapter=1 | Understanding Layouts and View Groups | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=3 chapter=2 | Working with Common UI Elements (Views) | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=3 chapter=3 | Handling User Input and Events | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=3 chapter=4 | Introduction to ConstraintLayout for Flexible UIs | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=4 chapter=1 | Understanding Activities and the Android App Structure | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=4 chapter=2 | Implementing Basic Navigation with Intents | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=4 chapter=3 | Passing Data Between Activities | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=4 chapter=4 | Introduction to the Jetpack Navigation Component | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=5 chapter=1 | Introduction to Data Storage Options in Android | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=5 chapter=2 | Storing Simple Data with Shared Preferences | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=5 chapter=3 | Working with Files for Larger Data | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=5 chapter=4 | Introducing SQLite and Room Persistence Library | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=5 chapter=5 | Performing CRUD Operations with Room | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=6 chapter=1 | Implementing Custom Views and Styles | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=6 chapter=2 | Working with Animations and Transitions | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=6 chapter=3 | Handling User Input and Gestures | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=6 chapter=4 | Introduction to Debugging and Logging | expected=9 stored=9 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-in-kotlin | Android Basics in Kotlin | module=6 chapter=5 | Performance Optimization and Best Practices | expected=8 stored=8 | course_imported=2026-09-09T10:59:20.306Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=1 chapter=1 | Getting Started with Android Studio and Your First Compose Project | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=1 chapter=2 | Introduction to Kotlin for Android Development | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=1 chapter=3 | Understanding Functions and Lambdas in Kotlin | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=2 chapter=1 | Introduction to Jetpack Compose and Basic Composables | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=2 chapter=2 | Layouts in Compose: Rows, Columns, and Modifiers | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=2 chapter=3 | State in Compose: `remember` and `mutableStateOf` | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=3 chapter=1 | Handling User Input with Modifiers and Callbacks | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=3 chapter=2 | Introducing State in Composable Functions | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=3 chapter=3 | State Hoisting and Unidirectional Data Flow | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=3 chapter=4 | Working with Lists and LazyColumn | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=4 chapter=1 | Building Complex Layouts with Modifiers and Composables | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=4 chapter=2 | Scrollable Content and Lists with Lazy Composables | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=4 chapter=3 | Introduction to Navigation in Compose | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=4 chapter=4 | Advanced Navigation Patterns and Deep Linking | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=5 chapter=1 | Introduction to Data Storage Options | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=5 chapter=2 | Storing Simple Data with SharedPreferences | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=5 chapter=3 | Working with Files and Assets | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=5 chapter=4 | Introduction to Room Database (SQLite Abstraction) | expected=8 stored=8 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=5 chapter=5 | Making Network Requests with Ktor Client | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=6 chapter=1 | Introduction to Android App Architecture | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=6 chapter=2 | Implementing Data Layers and Repositories | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=6 chapter=3 | Dependency Injection with Hilt (Basics) | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
Computer Science | android-basics-with-compose | Android Basics with Compose | module=6 chapter=4 | Unit Testing Your Android App | expected=9 stored=9 | course_imported=2026-09-12T12:17:21.832Z
